scope,tier,sf_rate_low,sf_rate_high,room_rate_low,room_rate_high,notes
Walls only,Tier 1,2.50,2.80,375,420,Normal room
Walls only,Tier 2,3.00,3.40,450,510,Normal room
Walls only,Tier 3,3.80,4.40,570,660,Normal room
Walls + Ceilings,Tier 1,3.60,4.00,540,600,Normal room
Walls + Ceilings,Tier 2,4.30,4.80,645,720,Normal room
Walls + Ceilings,Tier 3,5.20,5.90,780,885,Normal room
Walls + Ceilings + Existing trim,Tier 1,4.20,4.70,630,705,Normal room
Walls + Ceilings + Existing trim,Tier 2,5.00,5.60,750,840,Normal room
Walls + Ceilings + Existing trim,Tier 3,,,,,Existing trim never Tier 3 per matrix
Walls + Ceilings + Fresh pine base/casings or stained trim → white,Tier 1,,,,,N/A
Walls + Ceilings + Fresh pine base/casings or stained trim → white,Tier 2,,,,,N/A
Walls + Ceilings + Fresh pine base/casings or stained trim → white,Tier 3,5.80,6.60,870,990,Normal room
