mention,count,examples
projects/homestretch-proposals/PROCESS.md,26,exports/homestretch-proposals-3507395346.md:3097<br>exports/homestretch-proposals-3507395346.md:3097<br>exports/homestretch-proposals-3507395346.md:3246
projects/GUARDRAILS.md,24,exports/mac-8414198711.md:3143<br>exports/the-pit-3893871630.md:273<br>exports/the-pit-3893871630.md:273
projects/NETWORK-ROUTING.md,20,exports/homestretch-proposals-3507395346.md:5634<br>exports/homestretch-proposals-3507395346.md:5661<br>exports/homestretch-proposals-3507395346.md:5661
PRICING-JOURNAL.md,19,exports/homestretch-proposals-3507395346.md:121<br>exports/homestretch-proposals-3507395346.md:364<br>exports/homestretch-proposals-3507395346.md:1484
PROPOSAL-PACK.md,19,exports/homestretch-proposals-3507395346.md:233<br>exports/homestretch-proposals-3507395346.md:283<br>exports/homestretch-proposals-3507395346.md:360
Users/lrs/clawd,16,exports/homestretch-proposals-3507395346.md:5859<br>exports/homestretch-proposals-3507395346.md:5859<br>exports/homestretch-proposals-3507395346.md:5864
PROCESS.md,13,exports/homestretch-proposals-3507395346.md:3254<br>exports/mac-8414198711.md:1880<br>exports/mac-8414198711.md:1893
Users/lrs/.npm-global/bin/clawdbot,13,exports/mac-8414198711.md:1684<br>exports/mac-8414198711.md:1695<br>exports/mac-8414198711.md:1699
projects/homestretch-proposals/ROADMAP.md,12,exports/homestretch-proposals-3507395346.md:2577<br>exports/homestretch-proposals-3507395346.md:2577<br>exports/homestretch-proposals-3507395346.md:2999
RENAMED-MANIFEST.json,12,exports/homestretch-proposals-3507395346.md:3181<br>exports/homestretch-proposals-3507395346.md:3204<br>exports/homestretch-proposals-3507395346.md:3227
projects/sheets/SHEETS-AUTOMATION-PLAN.md,11,exports/mac-8414198711.md:697<br>exports/the-pit-3893871630.md:356<br>exports/the-pit-3893871630.md:356
MEMORY.md,10,exports/homestretch-proposals-3507395346.md:49<br>exports/homestretch-proposals-3507395346.md:272<br>exports/homestretch-proposals-3507395346.md:2581
projects/homestretch-proposals/PRICING-JOURNAL-RULES.md,10,exports/homestretch-proposals-3507395346.md:5883<br>exports/homestretch-proposals-3507395346.md:5883<br>exports/mac-8414198711.md:2530
README.md,10,exports/mac-8414198711.md:1850<br>exports/mac-8414198711.md:1879<br>exports/mac-8414198711.md:1892
